segment,train,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len,anomaly,channel
5,0,1,256,257,1.0584846070038911e-05,5.27902278315266e-10,2.2976124092528443e-05,-1.4843933372949996,-0.0601548781724772,1,1,1,78,87,5.547101361564531e-13,7.035422088489087e-13,256,257,2.062118274669008e-12,2.054094468152786e-12,0,CADC0872
6,1,1,252,253,6.326025494071145e-06,6.643179719118847e-10,2.5774366566646883e-05,-1.3023085613490446,-0.179240113059536,1,1,1,66,84,6.430575230937019e-13,7.268033028148551e-13,252,253,2.636182428221765e-12,2.625762734829584e-12,0,CADC0872
7,0,1,379,380,2.9907951973684204e-06,3.8437252690564615e-10,1.9605420855101436e-05,-0.736378555471322,-0.0782942495914141,1,1,1,111,127,3.793821108523652e-13,6.80787912571573e-13,379,380,1.0141755327325757e-12,1.0115066497517005e-12,0,CADC0872
10,1,1,316,317,4.411687239747634e-06,6.31100611241738e-10,2.5121715929484952e-05,-1.2167116352009533,-0.1281759287096554,1,1,1,97,104,5.293624016340368e-13,8.428462406968079e-13,316,317,1.997153833043475e-12,1.9908536632231484e-12,0,CADC0872
11,1,1,229,230,-4.51954224e-06,4.3323061321283654e-10,2.0814192590942283e-05,-1.2642493263381809,-0.2320908424929871,1,1,1,71,84,5.909420092907243e-13,8.931564543910516e-13,229,230,1.891836738920684e-12,1.883611361794942e-12,0,CADC0872
12,0,1,238,239,8.207475334476986e-06,6.720664935050506e-10,2.592424528322957e-05,-1.4771013537511233,-0.0442376143489289,1,1,1,66,76,8.337571557841644e-13,1.0014874344090122e-12,238,239,2.8238087962397084e-12,2.811993696673852e-12,0,CADC0872
14,1,1,221,222,6.963036954954955e-06,6.600910775784001e-10,2.569223769114711e-05,-1.3099544300386137,-0.1617670429963454,1,1,1,67,77,8.710885684176065e-13,1.0171315610337586e-12,221,222,2.9868374551058838e-12,2.9733832323351362e-12,0,CADC0872
16,1,1,249,250,2.560307673600001e-06,5.613340482840468e-10,2.369248928002389e-05,-1.4583843794155231,-0.0394007283374755,1,1,1,67,66,2.09028752873673e-12,4.5076300228425646e-12,249,250,2.2543536075664533e-12,2.245336193136188e-12,0,CADC0872
17,1,1,238,239,2.181008912133891e-06,3.4062737476365075e-10,1.845609316089542e-05,-1.0120805740067558,-0.363082320020136,1,1,1,54,64,1.6851626846655493e-12,3.865913626402384e-12,238,239,1.4312074569901292e-12,1.4252191412705053e-12,0,CADC0872
18,0,1,213,214,-1.104237738317757e-06,2.435482513359998e-10,1.5606032530274945e-05,-1.0863347541610358,-0.3215406848946128,1,1,1,47,51,1.5541308586841698e-12,3.651738322983825e-12,213,214,1.1434190203568064e-12,1.138075940822429e-12,0,CADC0872
23,1,1,243,244,2.346611106557377e-06,8.908867435407415e-10,2.9847725935835408e-05,-1.4878089313826552,0.0022501749039919,1,1,1,47,53,3.0884833911403045e-12,6.299152873774194e-12,243,244,3.6662005907026396e-12,3.651175178445663e-12,0,CADC0872
25,1,1,208,209,9.8655519138756e-07,6.941012221737457e-10,2.634580084517732e-05,-1.4755890643097809,-0.031255114779436,1,1,1,50,61,2.0925472008710955e-12,3.571336707892104e-12,208,209,3.3370251066045472e-12,3.321058479300219e-12,0,CADC0872
26,1,1,210,211,2.9755845450236967e-06,8.370861073143552e-10,2.8932440396799493e-05,-1.4931356400078035,-0.0093463402546961,1,1,1,42,53,2.494872292997721e-12,4.621311987082184e-12,210,211,3.9861243205445476e-12,3.967232736086992e-12,0,CADC0872
27,1,1,202,203,7.010657576354678e-06,5.013480960466014e-10,2.2390803827611936e-05,-0.8336900319426253,-0.4789567957926405,2,1,1,36,38,3.2894368618308617e-12,7.773531738830662e-12,202,203,2.481921267557433e-12,2.4696950544167558e-12,0,CADC0872
28,0,1,181,182,-4.743231538461536e-07,2.2825209786002243e-10,1.5108014358611873e-05,-0.7797241551683598,-0.6228378324931242,1,1,1,38,47,1.214893538327048e-12,2.8585815049018996e-12,181,182,1.2610613141437705e-12,1.2541324058242993e-12,0,CADC0872
30,0,1,194,195,-2.1828606729743597e-06,1.2341850460009111e-10,1.110938812896962e-05,-0.8880815455825006,-0.3856325215567748,3,1,1,45,48,2.401660562436652e-12,6.975553311374877e-12,194,195,6.361778587633563e-13,6.329154082055955e-13,0,CADC0872
32,1,1,202,203,6.426002753694582e-07,2.288334056561209e-10,1.5127240516899338e-05,-1.2901575129495155,-0.1535840082192607,1,1,1,55,61,1.886357072614889e-12,5.296148517595596e-12,202,203,1.132838641861985e-12,1.1272581559414826e-12,0,CADC0872
33,1,1,229,230,2.101973343478261e-06,3.6454762997174184e-10,1.909313043928999e-05,-1.4942384421491517,0.0198442970180315,1,1,1,64,64,2.332067506749891e-12,6.430783995253762e-12,229,230,1.5919110479115366e-12,1.5849896955293129e-12,0,CADC0872
34,1,1,185,186,-7.543538026881721e-06,8.746723383396739e-11,9.352391877694572e-06,-1.1978992609144303,-0.2081805538291964,3,1,1,41,44,1.5755302193307805e-12,4.361466225010511e-12,185,186,4.72795858561986e-13,4.702539453439108e-13,0,CADC0872
35,0,1,226,227,6.124206829515419e-06,6.458078624865878e-10,2.5412749998506415e-05,-1.1283898004965605,-0.2607257972634032,1,1,1,57,73,1.8920363921852597e-12,4.395055610008221e-12,226,227,2.8575569136574684e-12,2.8449685572096385e-12,0,CADC0872
36,1,1,213,214,3.743594481308412e-06,6.40731486430014e-10,2.531267442270797e-05,-1.1666609687637206,-0.2631781676284668,1,1,1,51,59,1.5349787323895149e-12,3.1348538200671495e-12,213,214,3.008129044272367e-12,2.9940723664953928e-12,0,CADC0872
37,1,1,192,193,6.116210595854922e-06,7.083659690789162e-10,2.661514548295606e-05,-1.153059937909473,-0.2862722087532431,1,1,1,31,38,1.7912677071097193e-12,3.085998146989425e-12,192,193,3.689406088952689e-12,3.670289995227546e-12,0,CADC0872
38,1,1,196,197,1.7975299492386502e-08,7.739083804899864e-10,2.781920884011597e-05,-1.4850694590849882,-0.0666227459606806,1,1,1,44,55,1.4800673793906628e-12,2.055843066294225e-12,196,197,3.948512145357074e-12,3.928468936497393e-12,0,CADC0872
39,1,1,201,202,-4.013059732673268e-06,7.030623892734438e-10,2.6515323669030403e-05,-1.5032768274517874,0.0422817171651537,1,1,1,53,63,2.0956523023503574e-12,4.619261055251599e-12,201,202,3.4978228322061884e-12,3.4805068775913067e-12,0,CADC0872
40,1,1,181,182,-5.13265655e-06,3.017189325157163e-10,1.737005850639877e-05,-1.0719674877397287,-0.2704383521480956,2,1,1,41,48,4.688929118648005e-12,1.2691291607019423e-11,181,182,1.666955428263626e-12,1.6577963325039357e-12,0,CADC0872
41,1,1,199,200,4.06904122e-06,4.4451811298617954e-10,2.108359819827203e-05,-1.4026988422537556,-0.1200316282187602,1,1,1,34,40,2.5415260430275344e-12,6.39152218713094e-12,199,200,2.233759361739596e-12,2.222590564930898e-12,0,CADC0872
42,0,1,192,193,4.740144067357513e-06,2.7336562420275036e-10,1.653377223148881e-05,-0.7344110338603698,-0.5283865011298791,2,1,1,43,54,2.5763674947990272e-12,6.9194882920046134e-12,192,193,1.4237792927226585e-12,1.416402197941712e-12,0,CADC0872
43,0,1,173,174,-2.7021560402298847e-06,1.2020044668510903e-10,1.0963596430237162e-05,-0.5898995336961526,-0.6651712810061887,2,1,1,47,58,2.5786907004658168e-12,7.280366690347954e-12,173,174,6.948002698561217e-13,6.908071648569486e-13,0,CADC0872
44,1,1,205,206,7.183812135922328e-07,3.1104888852690237e-10,1.7636578141093652e-05,-1.4721426388551364,-0.0150803784611694,2,1,1,34,41,2.7770370187511977e-12,7.85309143882054e-12,205,206,1.5173116513507432e-12,1.5099460608102057e-12,0,CADC0872
45,1,1,195,196,-1.312462500000001e-07,2.438485665346287e-10,1.561565133238536e-05,-1.4229913972403705,-0.0620299500774983,2,1,1,41,36,2.3971462657617682e-12,6.253709589544623e-12,195,196,1.2505054694083525e-12,1.2441253394623913e-12,0,CADC0872
46,1,1,185,186,6.967145411827957e-06,2.3819755769149706e-10,1.543365017393802e-05,-1.429684555894081,-0.1021904956909832,3,1,1,40,52,2.3558835814535306e-12,4.935010106102847e-12,185,186,1.2875543658999845e-12,1.2806320305994468e-12,0,CADC0872
47,1,1,184,185,-3.4006216e-06,2.0932254182656862e-10,1.4467983336545858e-05,-0.9771111583624026,-0.3765486249078456,1,1,1,44,53,9.644726418815068e-13,1.856168658358875e-12,184,185,1.1376225099270034e-12,1.131473199062533e-12,0,CADC0872
48,1,1,233,234,-1.4488028452991454e-06,6.032890044128558e-10,2.4561942195454656e-05,-1.4895453009880302,0.0157715787369657,1,1,1,55,63,1.6012962324056473e-12,3.132799937927992e-12,233,234,2.589223194904961e-12,2.5781581385164787e-12,0,CADC0872
49,1,1,185,186,-6.523637596774194e-06,2.5008550452398304e-10,1.5814091960146906e-05,-0.6905052180708902,-0.7442022222449438,2,1,1,27,35,1.823506578813816e-12,4.3735662208427516e-12,185,186,1.351813537967476e-12,1.3445457232472206e-12,0,CADC0872
50,0,1,197,198,5.0880126373737374e-06,5.857931368347816e-10,2.420316377738212e-05,-0.730640219116145,-0.5972663331352035,1,1,1,43,52,2.053498038814643e-12,3.842948188419347e-12,197,198,2.9735692225115824e-12,2.958551196135261e-12,0,CADC0872
53,1,1,193,194,-3.737276556701031e-06,8.166443576989557e-10,2.857699000417916e-05,-1.4758693751638186,-0.0164847932084414,1,1,1,45,62,3.1669332527812304e-12,6.061745467709311e-12,193,194,4.23131791553863e-12,4.209506998448225e-12,0,CADC0872
54,0,1,180,181,2.0111364640883998e-07,7.727336865109864e-10,2.779808782112515e-05,-1.454653076723475,-0.0703708418890259,1,1,1,39,42,2.504851863701707e-12,4.136274538327412e-12,180,181,4.292964925061036e-12,4.2692468868010296e-12,0,CADC0872
55,1,1,173,174,3.601382387931034e-06,5.119306924574624e-10,2.2625885451346705e-05,-1.0730512326690211,-0.3433641113262408,1,1,1,45,50,2.5160701738773417e-12,5.5222220290121546e-12,173,174,2.95913695062117e-12,2.9421304164221976e-12,0,CADC0872
56,1,1,190,191,4.68003470157068e-06,4.415157822380448e-10,2.1012276940827822e-05,-1.217343212252034,-0.1906420296395878,1,1,1,29,45,2.651447712992497e-12,5.423697489754469e-12,190,191,2.3237672749370777e-12,2.311600954125889e-12,0,CADC0872
58,1,1,158,159,-4.3134840754716985e-06,9.74329108007339e-11,9.870811050807015e-06,-1.3936797186758496,0.0043021026279251,2,1,1,28,36,2.0130440020890228e-12,4.249245681800116e-12,158,159,6.166639924097082e-13,6.12785602520339e-13,0,CADC0872
61,0,1,184,185,3.033028583783784e-06,2.795995515021754e-10,1.6721230561838906e-05,-1.4817374727215182,-0.0570138534090869,1,1,1,51,57,6.821750112247423e-13,1.0305709339668388e-12,184,185,1.5195627799031274e-12,1.5113489270387866e-12,0,CADC0872
63,0,1,207,208,7.758007211538466e-07,6.311851535680607e-10,2.512339852742978e-05,-1.4288886955001552,-0.0352066460958525,1,1,1,58,71,8.404117628554484e-13,8.262101578803194e-13,207,208,3.0492036404254144e-12,3.034544007538754e-12,0,CADC0872
64,0,1,185,186,2.298144392473119e-06,4.828665429025704e-10,2.197422451197244e-05,-1.0283408368296691,-0.3693812014445832,1,1,1,54,64,7.461330539423793e-13,8.041403402180727e-13,185,186,2.6100894210949747e-12,2.5960566822718835e-12,0,CADC0872
65,1,1,189,190,7.0171540421052645e-06,7.616527140263473e-10,2.759805634508248e-05,-1.0739005137153346,-0.3149010869319039,1,1,1,58,68,1.0784858541917028e-12,1.1094434853895177e-12,189,190,4.029908539821943e-12,4.008698494875512e-12,0,CADC0872
66,0,1,195,196,3.7591720612244905e-06,9.645156750499034e-10,3.1056652669756655e-05,-1.495399910264106,-0.0500405732365078,1,1,1,54,67,1.2326429790891474e-12,7.096333049216229e-13,195,196,4.946234231025145e-12,4.920998342091344e-12,0,CADC0872
67,1,1,179,180,-3.84912996111111e-06,6.640561139815299e-10,2.5769286252853998e-05,-1.4956430025912677,-0.0036867545410024,1,1,1,48,56,1.086661011723246e-12,7.683594323691488e-13,179,180,3.709810692634245e-12,3.6892006332307206e-12,0,CADC0872
68,1,1,184,185,-5.100298848648649e-06,5.188734516159004e-10,2.2778793901695067e-05,-1.416096102682555,-0.0642284565779919,1,1,1,53,59,8.803084129211662e-13,8.900904496353864e-13,184,185,2.8199644109559807e-12,2.804721360085948e-12,0,CADC0872
69,1,1,184,185,2.671946816216216e-06,4.927733588189808e-10,2.219849902175777e-05,-1.4689595707856722,-0.0561836788134265,1,1,1,58,67,8.981383545909286e-13,1.0637560706832997e-12,184,185,2.6781160805379395e-12,2.663639777399897e-12,0,CADC0872
70,1,1,171,172,3.182576854651162e-06,2.6726509355641103e-10,1.6348244357006993e-05,-1.0258049602082415,-0.4235697550629071,1,1,1,52,60,5.422247932519427e-13,7.784233211330322e-13,171,172,1.5629537634877838e-12,1.5538668230023896e-12,0,CADC0872
72,0,1,187,188,1.5482294946808511e-06,2.3533914099406087e-10,1.5340767288309307e-05,-1.4463689695446549,-0.0129745063913853,1,1,1,61,65,5.548524560768719e-13,8.476325002096805e-13,187,188,1.2584980801821436e-12,1.2518039414577709e-12,0,CADC0872
73,1,1,162,163,-4.1057247484662585e-06,9.305489476574432e-11,9.646496502137153e-06,-1.4643084778714672,-0.0251626262914755,1,1,1,48,55,3.9829594881921e-13,6.973088195415398e-13,162,163,5.744129306527428e-13,5.708889249432167e-13,0,CADC0872
75,0,1,188,189,2.738583562962963e-06,2.4363128236749434e-10,1.5608692525881032e-05,-1.4228862421816684,-0.0784838111123839,1,1,1,54,61,6.157478321882545e-13,9.692337487614106e-13,188,189,1.2959110764228422e-12,1.2890544040608166e-12,0,CADC0872
